Sprint,Dev,Tarefa,Fracao,T_Din,Inicio,Fim,Duracao_Tarefa,T_Nominal_Original,T_Base_Calculado,F_Tech_ET,F_Beh_EC,P_Ctx,P_Com,P_Phi_Fadiga,P_Match,B_Apr_Acumulado,F_Total_Multiplicador,Cg_Idx_Sustentabilidade,VNS_Gap,Runtime
4,Dev_2,T47,1.0,21.049999999999997,357.05,378.1,21.049999999999997,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.0,1.5875,0.12083333333333333,179.52888888888893,210.95974731445312
3,Dev_2,T52,1.0,18.32,261.12,279.44,18.32,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.04000000000000001,1.3599999999999999,0.1,179.52888888888893,210.95974731445312
4,Dev_2,T54,1.0,30.961204999999996,378.1,409.06120500000003,30.961204999999996,12,19.11,0.98,1.625,0.4,0.0,0.18749999999999994,0.0,0.07200000000000001,1.5154999999999998,0.12083333333333333,179.52888888888893,210.95974731445312
5,Dev_2,T57,1.0,17.6288,466.416,484.0448,17.6288,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.09760000000000002,1.3024,0.1,179.52888888888893,210.95974731445312
2,Dev_2,T59,1.0,32.337125,153.62,185.95712500000002,32.337125,12,19.11,0.98,1.625,0.4,0.0,0.18749999999999994,0.0,0.0,1.5875,0.12083333333333333,179.52888888888893,210.95974731445312
5,Dev_2,T72,1.0,18.799999999999997,484.0448,502.8448,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
1,Dev_3,T3,1.0,18.799999999999997,0.0,18.799999999999997,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
1,Dev_3,T8,1.0,18.799999999999997,18.799999999999997,37.599999999999994,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
1,Dev_3,T13,1.0,18.799999999999997,37.599999999999994,56.39999999999999,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
2,Dev_3,T18,1.0,18.32,112.0,130.32,18.32,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.04000000000000001,1.3599999999999999,0.1,179.52888888888893,210.95974731445312
2,Dev_3,T23,1.0,18.799999999999997,130.32,149.12,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
3,Dev_3,T28,1.0,20.57,224.0,244.57,20.57,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.04000000000000001,1.5474999999999999,0.12083333333333333,179.52888888888893,210.95974731445312
5,Dev_3,T33,1.0,18.415999999999997,448.0,466.416,18.415999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.03200000000000001,1.3679999999999999,0.1,179.52888888888893,210.95974731445312
3,Dev_3,T34,1.0,32.337125,244.57,276.907125,32.337125,12,19.11,0.98,1.625,0.4,0.0,0.18749999999999994,0.0,0.0,1.5875,0.12083333333333333,179.52888888888893,210.95974731445312
5,Dev_3,T38,1.0,18.415999999999997,466.416,484.832,18.415999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.03200000000000001,1.3679999999999999,0.1,179.52888888888893,210.95974731445312
4,Dev_3,T43,1.0,21.049999999999997,336.0,357.05,21.049999999999997,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.0,1.5875,0.12083333333333333,179.52888888888893,210.95974731445312
4,Dev_3,T48,1.0,21.049999999999997,357.05,378.1,21.049999999999997,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.0,1.5875,0.12083333333333333,179.52888888888893,210.95974731445312
2,Dev_3,T58,1.0,18.799999999999997,149.12,167.92000000000002,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
3,Dev_3,T63,1.0,21.049999999999997,276.907125,297.957125,21.049999999999997,12,12.0,1.0,1.0,0.4,0.0,0.18749999999999994,0.0,0.0,1.5875,0.12083333333333333,179.52888888888893,210.95974731445312
4,Dev_3,T70,1.0,30.47975,378.1,408.57975000000005,30.47975,12,17.94,0.92,1.625,0.4,0.0,0.18749999999999994,0.0,0.0,1.5875,0.12083333333333333,179.52888888888893,210.95974731445312
5,Dev_3,T73,1.0,18.32,484.832,503.152,18.32,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.04000000000000001,1.3599999999999999,0.1,179.52888888888893,210.95974731445312
1,Dev_4,T4,1.0,18.799999999999997,0.0,18.799999999999997,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
1,Dev_4,T9,1.0,18.799999999999997,18.799999999999997,37.599999999999994,18.799999999999997,12,12.0,1.0,1.0,0.4,0.0,0.0,0.0,0.0,1.4,0.1,179.52888888888893,210.95974731445312
