iteracao,tempo_s,tmax_best_h,fp_best,fp_iter,gap_pct,k,melhoria,rejeitada_infactivel
252,82.917,536.23068,556.8703999375,557.7902346423612,308.55670857142854,1,0,0
253,83.497,536.23068,556.8703999375,469.4789152256929,308.55670857142854,6,0,1
254,83.911,536.23068,556.8703999375,577.584039104165,308.55670857142854,3,0,0
255,83.913,536.23068,556.8703999375,80989.21748926824,308.55670857142854,3,0,0
256,84.138,536.23068,556.8703999375,23628.303241847232,308.55670857142854,4,0,0
257,84.793,536.23068,556.8703999375,563.1040468472222,308.55670857142854,8,0,0
258,85.213,536.23068,556.8703999375,559.7343037569444,308.55670857142854,9,0,0
259,85.472,536.23068,556.8703999375,557.6767189305556,308.55670857142854,2,0,0
260,85.475,536.23068,556.8703999375,56411.433682782124,308.55670857142854,8,0,0
261,85.781,536.23068,556.8703999375,557.8071376805556,308.55670857142854,1,0,0
262,86.138,536.23068,556.8703999375,583.5126209687484,308.55670857142854,5,0,0
263,86.406,536.23068,556.8703999375,557.8984315173611,308.55670857142854,10,0,0
264,86.408,536.23068,556.8703999375,90013.64138849969,308.55670857142854,6,0,0
265,86.93,536.23068,556.8703999375,557.7921876805556,308.55670857142854,4,0,0
266,87.225,536.23068,556.8703999375,557.7820348159722,308.55670857142854,7,0,0
267,87.844,536.23068,556.8703999375,556.8722686875,308.55670857142854,3,0,0
268,87.847,536.23068,556.8703999375,159979.1251010248,308.55670857142854,8,0,0
269,88.141,536.23068,556.8703999375,557.7996626805556,308.55670857142854,1,0,0
270,88.146,536.23068,556.8703999375,177816.39127827814,308.55670857142854,9,0,0
271,88.439,536.23068,556.8703999375,556.8703999375,308.55670857142854,10,0,0
272,88.764,536.23068,556.8703999375,557.6767189305556,308.55670857142854,7,0,0
273,89.447,536.23068,556.8703999375,557.9343154583333,308.55670857142854,6,0,0
274,89.449,536.23068,556.8703999375,56616.5831530981,308.55670857142854,8,0,0
275,89.788,536.23068,556.8703999375,557.6887235486112,308.55670857142854,6,0,0
276,90.077,536.23068,556.8703999375,556.8703999375,308.55670857142854,2,0,0
277,90.232,536.23068,556.8703999375,2049.537894499998,308.55670857142854,5,0,0
278,90.546,536.23068,556.8703999375,557.5099475069444,308.55670857142854,4,0,0
279,91.194,536.23068,556.8703999375,558.7403995034722,308.55670857142854,3,0,0
280,91.575,536.23068,556.8703999375,560.3293814189814,308.55670857142854,4,0,0
281,91.907,536.23068,556.8703999375,556.8703999375,308.55670857142854,6,0,0
282,92.223,536.23068,556.8703999375,557.6767189305556,308.55670857142854,2,0,0
283,92.629,536.23068,556.8703999375,585.5462331527762,308.55670857142854,3,0,0
284,93.124,480.80896,505.11727025115744,505.11727025115744,266.3306361904762,3,1,0
285,93.54,480.80896,505.11727025115744,557.8464042604166,266.3306361904762,7,0,0
286,93.946,480.80896,505.11727025115744,558.0786866388889,266.3306361904762,5,0,0
287,94.525,480.80896,505.11727025115744,470.59711296874843,266.3306361904762,6,0,1
288,95.017,480.80896,505.11727025115744,564.5895888506943,266.3306361904762,1,0,0
289,95.489,480.80896,505.11727025115744,535.1916958275432,266.3306361904762,9,0,0
290,95.491,480.80896,505.11727025115744,57913.03879018028,266.3306361904762,4,0,0
291,95.989,480.80896,505.11727025115744,560.7615832152778,266.3306361904762,10,0,0
292,96.418,480.80896,505.11727025115744,1446.7684081597185,266.3306361904762,4,0,0
293,96.634,480.80896,505.11727025115744,471.83048112268364,266.3306361904762,8,0,1
294,97.217,480.80896,505.11727025115744,515.740530225693,266.3306361904762,8,0,0
295,97.474,480.80896,505.11727025115744,607.877191892358,266.3306361904762,6,0,0
296,98.006,480.80896,505.11727025115744,562.1173036782408,266.3306361904762,7,0,0
297,98.429,480.80896,505.11727025115744,557.6887235486112,266.3306361904762,10,0,0
298,98.778,480.80896,505.11727025115744,564.7073586724537,266.3306361904762,6,0,0
299,98.903,425.19185,448.03217134259256,448.03217134259256,223.95569523809522,1,1,0
300,98.906,425.19185,448.03217134259256,62415.02261233213,223.95569523809522,4,0,0
301,99.177,425.19185,448.03217134259256,561.1204648819445,223.95569523809522,9,0,0
302,99.83,425.19185,448.03217134259256,559.5377131724537,223.95569523809522,4,0,0
303,100.727,425.19185,448.03217134259256,467.6095313541651,223.95569523809522,3,0,0
304,100.996,425.19185,448.03217134259256,562.1113809849536,223.95569523809522,5,0,0
305,101.446,425.19185,448.03217134259256,488.2877604687469,223.95569523809522,3,0,0
306,101.708,425.19185,448.03217134259256,448.03217134259256,223.95569523809522,2,0,0
307,101.71,425.19185,448.03217134259256,100955.26546670524,223.95569523809522,8,0,0
308,101.713,425.19185,448.03217134259256,390545.89825784403,223.95569523809522,8,0,0
309,101.956,425.19185,448.03217134259256,448.03217134259256,223.95569523809522,10,0,0
310,102.236,425.19185,448.03217134259256,448.03217134259256,223.95569523809522,1,0,0
311,102.238,425.19185,448.03217134259256,181195.19382356884,223.95569523809522,3,0,0
312,102.357,425.19185,448.03217134259256,1224.7333075243037,223.95569523809522,6,0,0
313,102.36,425.19185,448.03217134259256,351235.7070072938,223.95569523809522,8,0,0
314,102.649,425.19185,448.03217134259256,561.6993804930555,223.95569523809522,3,0,0
315,102.652,425.19185,448.03217134259256,106646.08745286183,223.95569523809522,8,0,0
316,102.906,425.19185,448.03217134259256,13597.908596336802,223.95569523809522,6,0,0
317,103.406,425.19185,448.03217134259256,557.5099475069444,223.95569523809522,5,0,0
318,103.869,425.19185,448.03217134259256,560.4333109444444,223.95569523809522,4,0,0
319,104.129,425.19185,448.03217134259256,448.03217134259256,223.95569523809522,7,0,0
320,104.433,425.19185,448.03217134259256,564.2652804756945,223.95569523809522,9,0,0
321,104.981,425.19185,448.03217134259256,516.0663188541652,223.95569523809522,4,0,0
322,105.355,425.19185,448.03217134259256,559.5328095266203,223.95569523809522,2,0,0
323,105.61,425.19185,448.03217134259256,448.03217134259256,223.95569523809522,10,0,0
324,105.977,425.19185,448.03217134259256,448.1124405266204,223.95569523809522,4,0,0
325,106.477,425.19185,448.03217134259256,560.61660478125,223.95569523809522,6,0,0
326,106.715,425.19185,448.03217134259256,562.9505413344907,223.95569523809522,3,0,0
327,106.718,425.19185,448.03217134259256,54885.69234148843,223.95569523809522,8,0,0
328,106.72,425.19185,448.03217134259256,113663.09583568061,223.95569523809522,3,0,0
329,107.077,425.19185,448.03217134259256,559.246609005787,223.95569523809522,7,0,0
330,107.079,425.19185,448.03217134259256,59292.3283625043,223.95569523809522,4,0,0
331,107.764,425.19185,448.03217134259256,560.4348488958333,223.95569523809522,9,0,0
332,107.766,425.19185,448.03217134259256,135878.63805514394,223.95569523809522,2,0,0
333,108.341,425.19185,448.03217134259256,559.4937983576389,223.95569523809522,1,0,0
334,108.344,425.19185,448.03217134259256,84160.522101316,223.95569523809522,8,0,0
335,108.599,425.19185,448.03217134259256,448.03217134259256,223.95569523809522,5,0,0
336,108.982,425.19185,448.03217134259256,557.5099475069444,223.95569523809522,6,0,0
337,109.547,425.19185,448.03217134259256,585.5462331527762,223.95569523809522,8,0,0
338,109.805,425.19185,448.03217134259256,448.03217134259256,223.95569523809522,2,0,0
339,110.068,425.19185,448.03217134259256,448.03217134259256,223.95569523809522,4,0,0
340,110.529,425.19185,448.03217134259256,498.44415236689815,223.95569523809522,5,0,0
341,110.79,425.19185,448.03217134259256,448.03217134259256,223.95569523809522,1,0,0
342,111.232,425.19185,448.03217134259256,470.0598384722207,223.95569523809522,6,0,0
