Sprint,Dev,Tarefa,Fracao,T_Din,Inicio,Fim,Duracao_Tarefa,T_Nominal_Original,T_Base_Calculado,F_Tech_ET,F_Beh_EC,P_Ctx,P_Com,P_Phi_Fadiga,P_Match,B_Apr_Acumulado,F_Total_Multiplicador,Cg_Idx_Sustentabilidade,VNS_Gap,Runtime
7,Dev_0,T23,1.0,21.738677373022302,756.0686364312103,777.8073138042325,21.738677373022302,20,20.0,1.0,1.0,0.4,0.0,0.0,0.0,0.41306613134888476,0.9869338686511151,0.1,45.00788438390755,180.5518674850464
8,Dev_0,T24,1.0,10.643206423813384,784.0,794.6432064238134,10.643206423813384,20,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5678396788093308,0.43216032119066916,0.03333333333333333,45.00788438390755,180.5518674850464
1,Dev_1,T28,1.0,38.0,0.0,38.0,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
2,Dev_1,T32,1.0,36.8,112.0,148.8,36.8,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.04000000000000001,1.16,0.06666666666666667,45.00788438390755,180.5518674850464
1,Dev_1,T36,1.0,38.0,38.0,76.0,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
3,Dev_1,T40,1.0,36.8,224.0,260.8,36.8,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.04000000000000001,1.16,0.06666666666666667,45.00788438390755,180.5518674850464
2,Dev_1,T44,1.0,38.0,148.8,186.8,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
3,Dev_1,T48,1.0,36.8,260.8,297.6,36.8,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.04000000000000001,1.16,0.06666666666666667,45.00788438390755,180.5518674850464
5,Dev_2,T15,1.0,31.900000000000002,509.24266493378565,541.1426649337857,31.900000000000002,20,29.900000000000002,0.92,1.625,0.0,0.0,0.0,0.0,0.0,1.0,0.05416666666666667,45.00788438390755,180.5518674850464
7,Dev_2,T20,1.0,30.34118144,672.0,702.34118144,30.34118144,20,29.900000000000002,0.92,1.625,0.0,0.0,0.0,0.0,0.05213440000000001,0.9478656,0.05416666666666667,45.00788438390755,180.5518674850464
1,Dev_2,T25,1.0,38.0,0.0,38.0,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
1,Dev_2,T29,1.0,38.0,38.0,76.0,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
2,Dev_2,T33,1.0,38.0,112.0,150.0,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
2,Dev_2,T37,1.0,38.0,150.0,188.0,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
4,Dev_2,T41,1.0,29.599999999999998,336.0,365.6,29.599999999999998,30,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08000000000000002,0.9199999999999999,0.03333333333333333,45.00788438390755,180.5518674850464
3,Dev_2,T45,1.0,38.0,224.0,262.0,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
3,Dev_2,T49,1.0,38.0,262.0,300.0,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
6,Dev_3,T16,1.0,31.900000000000002,560.0,591.9,31.900000000000002,20,29.900000000000002,0.92,1.625,0.0,0.0,0.0,0.0,0.0,1.0,0.05416666666666667,45.00788438390755,180.5518674850464
1,Dev_3,T26,1.0,38.0,0.0,38.0,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
1,Dev_3,T30,1.0,38.0,38.0,76.0,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
3,Dev_3,T34,1.0,35.839999999999996,224.0,259.84,35.839999999999996,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.07200000000000001,1.128,0.06666666666666667,45.00788438390755,180.5518674850464
2,Dev_3,T38,1.0,36.8,112.0,148.8,36.8,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.04000000000000001,1.16,0.06666666666666667,45.00788438390755,180.5518674850464
2,Dev_3,T42,1.0,38.0,148.8,186.8,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
3,Dev_3,T46,1.0,36.8,259.84,296.64,36.8,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.04000000000000001,1.16,0.06666666666666667,45.00788438390755,180.5518674850464
1,Dev_4,T27,1.0,38.0,0.0,38.0,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
2,Dev_4,T31,1.0,36.8,112.0,148.8,36.8,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.04000000000000001,1.16,0.06666666666666667,45.00788438390755,180.5518674850464
1,Dev_4,T35,1.0,38.0,38.0,76.0,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
2,Dev_4,T39,1.0,36.8,148.8,185.60000000000002,36.8,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.04000000000000001,1.16,0.06666666666666667,45.00788438390755,180.5518674850464
3,Dev_4,T43,1.0,38.0,224.0,262.0,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
3,Dev_4,T47,1.0,38.0,262.0,300.0,38.0,30,30.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,45.00788438390755,180.5518674850464
